"municipalityName";"municipalityCode";"provinceCode";"provinceName";"securityRegionCode";"securityRegionName";"population"
"Hardinxveld-Giessendam";"GM0523";"PV28";"Zuid-Holland";"VR18";"Zuid-Holland-Zuid";"18295"
"Harlingen";"GM0072";"PV21";"Fryslân";"VR02";"Fryslân";"15722"
"Hattem";"GM0244";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"12209"
"Heemskerk";"GM0396";"PV27";"Noord-Holland";"VR12";"Kennemerland";"39182"
"Heemstede";"GM0397";"PV27";"Noord-Holland";"VR12";"Kennemerland";"27234"
"Heerde";"GM0246";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"18589"
"Heerenveen";"GM0074";"PV21";"Fryslân";"VR02";"Fryslân";"50493"
"Heerhugowaard";"GM0398";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"57587"
"Heerlen";"GM0917";"PV31";"Limburg";"VR24";"Limburg-Zuid";"87086"
"Heeze-Leende";"GM1658";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"16152"
"Heiloo";"GM0399";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"23968"
"Den Helder";"GM0400";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"56296"
"Hellendoorn";"GM0163";"PV23";"Overijssel";"VR05";"Twente";"35916"
"Hellevoetsluis";"GM0530";"PV28";"Zuid-Holland";"VR17";"Rotterdam-Rijnmond";"40142"
"Helmond";"GM0794";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"92423"
"Hendrik-Ido-Ambacht";"GM0531";"PV28";"Zuid-Holland";"VR18";"Zuid-Holland-Zuid";"31202"
"Hengelo (O.)";"GM0164";"PV23";"Overijssel";"VR05";"Twente";"81140"
"'s-Hertogenbosch";"GM0796";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"155111"
"Heumen";"GM0252";"PV25";"Gelderland";"VR08";"Gelderland-Zuid";"16454"
"Heusden";"GM0797";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"44692"
"Hillegom";"GM0534";"PV28";"Zuid-Holland";"VR16";"Hollands-Midden";"22209"
"Hilvarenbeek";"GM0798";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"15518"
"Hilversum";"GM0402";"PV27";"Noord-Holland";"VR14";"GooienVechtstreek";"90831"
"Hoeksche Waard";"GM1963";"PV28";"Zuid-Holland";"VR18";"Zuid-Holland-Zuid";"87401"
"Hof van Twente";"GM1735";"PV23";"Overijssel";"VR05";"Twente";"35017"
"Het Hogeland";"GM1966";"PV20";"Groningen";"VR01";"Groningen";"47801"
"Hollands Kroon";"GM1911";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"48432"
